Date;Temperature;Humidity;Precipitation;HDD;CDD
2011-12-27;27.55;75.64;0.00;0.00;2.55
2011-12-28;27.18;77.73;0.00;0.00;2.18
2011-12-29;25.86;81.73;0.00;0.00;0.86
2011-12-30;26.73;80.64;0.00;0.00;1.73
2011-12-31;25.36;84.73;0.00;0.00;0.36
2012-1-1;24.91;88.18;0.00;0.00;0.00
2012-1-2;24.64;84.55;0.00;0.00;0.00
2012-1-3;26.95;78.09;0.00;0.00;1.95
2012-1-4;27.45;74.55;0.00;0.00;2.45
2012-1-5;26.77;76.73;0.00;0.00;1.77
2012-1-6;26.64;80.36;0.00;0.00;1.64
2012-1-7;26.41;79.82;0.00;0.00;1.41
2012-1-8;24.64;83.00;0.00;0.00;0.00
2012-1-9;23.14;83.73;0.00;0.00;0.00
2012-1-10;23.55;83.18;0.00;0.00;0.00
2012-1-11;23.59;83.64;0.00;0.00;0.00
2012-1-12;25.27;76.91;0.00;0.00;0.27
2012-1-13;26.41;75.45;0.00;0.00;1.41
2012-1-14;27.68;72.73;0.00;0.00;2.68
2012-1-15;28.32;72.27;0.00;0.00;3.32
2012-1-16;28.45;71.27;0.00;0.00;3.45
2012-1-17;27.95;68.73;0.00;0.00;2.95
2012-1-18;27.18;70.00;0.00;0.00;2.18
2012-1-19;27.36;72.45;0.00;0.00;2.36
2012-1-20;26.68;68.00;0.00;0.00;1.68
2012-1-21;27.91;70.27;0.00;0.00;2.91
2012-1-22;28.00;68.18;0.00;0.00;3.00
2012-1-23;27.82;71.09;0.00;0.00;2.82
2012-1-24;27.77;67.82;0.00;0.00;2.77
2012-1-25;28.41;65.27;0.00;0.00;3.41
2012-1-26;28.86;67.09;0.00;0.00;3.86
2012-1-27;27.82;73.18;0.00;0.00;2.82
2012-1-28;27.45;77.36;0.00;0.00;2.45
2012-1-29;27.55;75.55;0.00;0.00;2.55
2012-1-30;27.45;72.45;0.00;0.00;2.45
2012-1-31;27.82;74.36;0.00;0.00;2.82
2012-2-1;26.91;75.45;0.00;0.00;1.91
2012-2-2;27.32;70.09;0.00;0.00;2.32
2012-2-3;27.50;67.73;0.00;0.00;2.50
2012-2-4;27.77;63.91;0.00;0.00;2.77
2012-2-5;28.36;58.27;0.00;0.00;3.36
2012-2-6;28.91;61.36;0.00;0.00;3.91
2012-2-7;30.45;62.09;0.00;0.00;5.45
2012-2-8;30.59;56.73;0.00;0.00;5.59
2012-2-9;30.73;62.09;0.00;0.00;5.73
2012-2-10;29.00;67.91;0.00;0.00;4.00
2012-2-11;27.27;76.00;0.00;0.00;2.27
2012-2-12;27.09;76.91;0.00;0.00;2.09
2012-2-13;26.68;74.82;0.00;0.00;1.68
2012-2-14;27.77;69.09;0.00;0.00;2.77
2012-2-15;27.68;71.64;0.00;0.00;2.68
2012-2-16;27.18;69.36;0.00;0.00;2.18
2012-2-17;27.41;70.73;0.00;0.00;2.41
2012-2-18;27.77;66.55;0.00;0.00;2.77
2012-2-19;27.59;68.91;0.00;0.00;2.59
2012-2-20;27.32;67.00;0.00;0.00;2.32
2012-2-21;27.55;66.64;0.00;0.00;2.55
2012-2-22;27.36;66.09;0.00;0.00;2.36
2012-2-23;28.27;72.27;0.00;0.00;3.27
2012-2-24;28.59;71.82;0.00;0.00;3.59
2012-2-25;28.55;67.09;0.00;0.00;3.55
2012-2-26;29.59;61.73;0.00;0.00;4.59
2012-2-27;30.45;60.09;0.00;0.00;5.45
2012-2-28;30.32;55.45;0.00;0.00;5.32
2012-2-29;30.18;55.91;0.00;0.00;5.18
2012-3-1;30.27;56.36;0.00;0.00;5.27
2012-3-2;30.68;58.73;0.00;0.00;5.68
2012-3-3;30.27;59.91;0.00;0.00;5.27
2012-3-4;28.45;61.18;0.00;0.00;3.45
2012-3-5;27.95;62.73;0.00;0.00;2.95
2012-3-6;28.55;59.82;0.00;0.00;3.55
2012-3-7;27.59;61.00;0.00;0.00;2.59
2012-3-8;28.50;60.55;0.00;0.00;3.50
2012-3-9;28.77;59.91;0.00;0.00;3.77
2012-3-10;27.23;70.18;0.00;0.00;2.23
2012-3-11;28.64;70.55;0.00;0.00;3.64
2012-3-12;27.82;74.09;0.00;0.00;2.82
2012-3-13;28.05;73.00;0.00;0.00;3.05
2012-3-14;28.86;69.82;0.00;0.00;3.86
2012-3-15;28.86;70.82;0.00;0.00;3.86
2012-3-16;26.36;79.09;0.00;0.00;1.36
2012-3-17;26.36;80.18;0.00;0.00;1.36
2012-3-18;25.14;76.27;0.00;0.00;0.14
2012-3-19;24.09;80.09;0.00;0.00;0.00
2012-3-20;26.14;75.55;0.00;0.00;1.14
2012-3-21;27.27;73.45;0.00;0.00;2.27
2012-3-22;28.82;70.82;0.00;0.00;3.82
2012-3-23;27.23;77.00;0.00;0.00;2.23
2012-3-24;27.73;74.09;0.00;0.00;2.73
2012-3-25;28.86;70.45;0.00;0.00;3.86
2012-3-26;28.32;71.09;0.00;0.00;3.32
2012-3-27;28.14;69.64;0.00;0.00;3.14
2012-3-28;27.45;75.00;0.00;0.00;2.45
2012-3-29;26.18;79.73;0.00;0.00;1.18
2012-3-30;27.23;73.82;0.00;0.00;2.23
2012-3-31;27.68;70.73;0.00;0.00;2.68
2012-4-1;27.91;69.36;0.00;0.00;2.91
2012-4-2;28.09;67.73;0.00;0.00;3.09
2012-4-3;27.55;71.18;0.00;0.00;2.55
2012-4-4;28.18;68.45;0.00;0.00;3.18
2012-4-5;29.55;64.91;0.00;0.00;4.55
2012-4-6;29.14;70.64;0.00;0.00;4.14
2012-4-7;28.36;71.27;0.00;0.00;3.36
2012-4-8;26.95;70.91;0.00;0.00;1.95
2012-4-9;26.86;71.82;0.28;0.00;1.86
2012-4-10;27.00;72.09;0.00;0.00;2.00
2012-4-11;26.86;70.91;0.05;0.00;1.86
2012-4-12;26.64;70.82;0.00;0.00;1.64
2012-4-13;27.23;66.82;0.00;0.00;2.23
2012-4-14;28.23;65.82;0.00;0.00;3.23
2012-4-15;28.50;67.00;0.05;0.00;3.50
2012-4-16;27.82;72.73;0.00;0.00;2.82
2012-4-17;25.68;75.18;0.18;0.00;0.68
2012-4-18;26.73;69.82;0.00;0.00;1.73
2012-4-19;26.55;65.82;0.46;0.00;1.55
2012-4-20;26.82;66.09;0.00;0.00;1.82
2012-4-21;27.18;69.64;0.00;0.00;2.18
2012-4-22;26.23;73.82;0.00;0.00;1.23
2012-4-23;25.82;74.55;0.00;0.00;0.82
2012-4-24;27.36;68.82;0.00;0.00;2.36
2012-4-25;27.59;67.64;0.02;0.00;2.59
2012-4-26;27.86;69.45;0.00;0.00;2.86
2012-4-27;27.32;74.09;0.00;0.00;2.32
2012-4-28;27.23;71.64;0.00;0.00;2.23
2012-4-29;25.64;73.91;0.00;0.00;0.64
2012-4-30;25.41;75.82;0.00;0.00;0.41
2012-5-1;23.41;71.73;0.00;0.00;0.00
